Squad,# Pl_x,90s_x,GA_x,PKA_x,FK_x,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_x,Att_x,Cmp%_x,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl_y,Age_x,Poss_x,MP_x,Starts_x,Min_x,90s_y,Gls_x,Ast_x,G+A,G-PK,PK_x,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,npxG+xAG,PrgC_x,PrgP_x,G+A-PK,xG+xAG,Gls_y,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_y,PK_y,PKatt_y,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld,Def,GCA,GCA90,MP_y,Starts_y,Min_y,GA_y,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA_y,PKsv,PKm,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Att_y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Age_y,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss_y,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_x,PrgDist_x,PrgC_y,1/3_x,CPA,Mis,Dis,Rec,PrgR,# Pl,90s,Cmp_y,Cmp%_y,TotDist_y,PrgDist_y,Ast_y,xAG_y,xA,A-xAG,KP,1/3_y,PPA,CrsPA,PrgP_y
Arsenal,1,26.0,0.96,0.08,0.0,0.15,0.04,0.94,0.27,0.02,0.02,2.92,10.8,27.1,4.92,35.1,33.4,10.2,0.62,6.1,1.23,1.23,16.8,25,25.0,60.2,26,286,2340,26.0,2.15,1.58,3.73,2.08,0.08,0.08,1.46,0.0,1.93,1.88,1.39,3.27,23.2,56.7,3.65,3.32,2.15,16.5,5.12,30.9,16.54,5.12,0.13,0.41,16.3,0.5,0.08,0.08,1.93,1.88,0.12,0.22,0.19,29.5,29.46,22.0,2.31,1.23,2.15,1.23,0.58,3.77,3.77,26,26,2340,0.96,0.96,3.19,2.27,72.3,0.77,0.12,0.12,0.42,42.3,0.12,0.08,0.0,0.04,14.5,8.92,6.19,5.15,3.15,11.8,52.0,5.65,8.88,2.12,6.77,6.42,20.9,15.8,0.62,25.0,26,2340,90,100,11.0,85,7.38,3.69,14,5.31,2.42,2.27,0.96,1.31,1.31,1.93,0.98,0.96,0.96,60.2,690.4,49.3,168.3,307.2,219.7,35.6,690.3,8.58,46.0,7.54,40.4,419.6,2261.7,1187.8,23.2,15.8,7.73,14.6,10.5,483.1,56.0,25,26.0,487.9,83.2,8294.0,2715.3,1.58,1.39,1.22,0.19,12.4,44.2,12.7,1.62,56.7
Aston Villa,2,25.0,1.52,0.12,0.04,0.32,0.16,1.24,0.26,-0.12,-0.12,5.32,14.6,36.5,4.04,36.3,33.7,13.3,1.72,13.0,1.2,1.2,14.6,25,27.6,48.5,25,275,2250,25.0,1.16,0.76,1.92,1.04,0.12,0.12,2.08,0.04,1.2,1.12,0.87,1.98,15.0,32.8,1.8,2.08,1.16,11.0,3.8,34.5,11.0,3.8,0.09,0.27,18.6,0.44,0.12,0.12,1.2,1.12,0.1,-0.04,-0.08,19.3,19.28,14.8,1.16,1.04,1.0,1.0,0.32,2.04,2.04,25,25,2250,1.52,1.52,4.16,2.76,66.3,0.4,0.16,0.44,0.28,28.0,0.16,0.12,0.04,0.0,17.8,9.24,9.0,6.72,2.08,15.7,52.7,7.44,12.6,3.4,9.24,9.36,27.2,17.7,0.36,27.6,25,2250,90,100,11.0,82,7.0,3.96,21,4.96,1.36,1.24,1.52,-0.28,-0.28,1.2,1.5,-0.3,-0.29,48.5,575.6,69.5,206.9,249.0,125.0,18.2,575.4,6.4,39.9,6.84,42.6,322.7,1623.2,811.0,15.0,10.8,4.2,15.3,10.4,363.2,32.3,25,25.0,367.3,78.7,6488.3,2342.3,0.76,0.87,0.73,-0.11,7.96,26.3,6.72,2.0,32.8
Bournemouth,2,25.0,2.04,0.24,0.0,0.52,0.12,1.76,0.3,-0.16,-0.16,6.88,15.8,43.5,4.56,45.6,36.3,21.0,1.2,5.7,0.8,0.8,11.2,29,26.9,38.5,25,275,2250,25.0,0.96,0.72,1.68,0.96,0.0,0.0,1.72,0.0,0.85,0.85,0.67,1.52,12.5,24.9,1.68,1.52,0.96,8.48,3.04,35.8,8.48,3.04,0.11,0.32,15.7,0.4,0.0,0.0,0.85,0.85,0.1,0.11,0.11,14.4,14.4,10.3,1.28,0.88,1.08,0.68,0.16,1.68,1.68,25,25,2250,2.04,2.04,5.24,3.32,65.6,0.2,0.24,0.56,0.2,20.0,0.24,0.24,0.0,0.0,16.5,9.92,8.52,6.48,1.52,14.4,47.4,7.56,13.7,5.04,8.64,8.44,25.0,28.2,0.2,26.9,25,2250,90,100,11.0,84,7.6,3.44,19,5.56,0.84,0.96,2.04,-1.08,-1.08,0.85,1.7,-0.86,-0.86,38.5,504.1,78.1,208.6,196.5,105.8,16.7,504.1,6.6,40.1,8.44,51.3,249.3,1361.2,661.8,12.5,10.2,3.16,15.6,10.4,285.7,24.3,29,25.0,288.6,74.9,5126.2,2145.4,0.72,0.67,0.65,0.05,6.48,20.5,5.6,1.96,24.9
Brentford,1,23.0,1.3,0.04,0.0,0.3,0.09,1.33,0.24,0.11,0.11,9.3,23.2,40.2,4.61,50.6,39.3,16.0,1.61,10.1,1.52,1.52,15.8,25,26.9,43.7,23,253,2070,23.0,1.57,0.91,2.48,1.35,0.22,0.22,1.43,0.0,1.4,1.23,0.92,2.16,10.1,29.8,2.26,2.32,1.57,10.1,3.83,37.9,10.09,3.83,0.13,0.35,15.7,0.3,0.22,0.22,1.4,1.23,0.13,0.16,0.11,17.5,17.52,12.0,2.48,0.65,1.17,1.04,0.17,2.61,2.61,23,23,2070,1.3,1.3,5.57,4.35,77.3,0.35,0.48,0.17,0.35,34.8,0.04,0.04,0.0,0.0,14.9,8.17,6.96,5.74,2.17,15.0,42.9,8.57,11.7,4.83,6.91,9.26,24.1,22.5,0.35,26.9,23,2070,90,100,11.0,82,6.57,4.43,19,4.57,1.52,1.61,1.3,0.3,0.3,1.4,1.26,0.14,0.14,43.7,521.8,70.0,194.7,204.7,126.6,21.3,521.6,5.74,40.6,6.3,44.6,275.9,1302.5,632.7,10.1,8.04,2.22,14.5,9.57,292.8,29.6,25,23.0,295.5,72.2,5439.3,2284.4,0.91,0.92,0.78,-0.0,7.17,24.2,7.57,2.17,29.8
Brighton,2,23.0,1.26,0.22,0.0,0.17,0.13,1.06,0.25,-0.07,-0.07,2.48,8.91,27.8,4.43,24.1,29.0,9.74,0.74,7.6,0.7,0.7,13.1,25,27.3,59.1,23,253,2070,23.0,1.7,1.09,2.78,1.52,0.17,0.17,1.35,0.0,1.72,1.59,1.26,2.85,20.5,49.4,2.61,2.98,1.7,14.5,5.48,37.8,14.48,5.48,0.11,0.28,16.6,0.35,0.17,0.17,1.72,1.59,0.11,-0.02,-0.07,26.0,25.96,20.2,1.78,1.52,1.39,0.78,0.26,3.04,3.04,23,23,2070,1.26,1.26,3.22,2.04,67.6,0.48,0.22,0.3,0.3,30.4,0.26,0.22,0.04,0.0,16.7,9.17,7.35,6.48,2.83,13.2,51.5,6.39,10.0,2.57,7.43,8.7,25.3,12.0,0.3,27.3,23,2070,90,100,11.0,84,7.3,3.74,18,5.26,1.65,1.87,1.26,0.61,0.61,1.72,1.17,0.55,0.55,59.1,699.0,63.5,210.3,312.2,181.3,28.0,698.9,7.22,44.7,6.61,41.0,427.0,2158.1,1111.7,20.5,13.0,6.0,14.8,9.0,494.2,48.8,25,23.0,498.7,83.3,8490.7,2796.2,1.09,1.26,1.14,-0.17,11.5,39.5,10.4,2.13,49.4
Chelsea,2,25.0,1.0,0.0,0.04,0.24,0.08,1.14,0.3,0.22,0.22,2.76,7.64,36.1,4.96,17.5,26.0,13.6,0.68,5.0,1.64,1.64,16.4,32,27.5,58.8,25,275,2250,25.0,0.96,0.68,1.64,0.88,0.08,0.08,2.16,0.12,1.19,1.13,0.91,2.04,20.4,43.8,1.56,2.11,0.96,11.8,3.72,31.6,11.76,3.72,0.07,0.24,16.8,0.28,0.08,0.08,1.19,1.13,0.1,-0.23,-0.25,20.8,20.8,16.7,1.48,0.76,0.96,0.68,0.24,1.76,1.76,25,25,2250,1.0,1.0,4.0,3.08,75.0,0.36,0.28,0.36,0.36,36.0,0.0,0.0,0.0,0.0,20.1,11.6,9.6,7.2,3.28,16.0,54.3,7.32,11.8,2.6,9.24,9.52,29.6,18.6,0.36,27.5,25,2250,90,100,11.0,80,6.32,4.6,22,4.4,1.36,0.96,1.0,-0.04,-0.04,1.19,1.23,-0.04,-0.04,58.8,715.8,67.2,227.4,318.1,175.6,23.2,715.7,7.64,40.2,9.24,48.6,427.5,2154.4,1114.4,20.4,15.2,5.16,15.6,11.0,498.8,43.6,32,25.0,500.7,83.4,8262.8,2758.0,0.68,0.91,0.83,-0.23,8.96,36.6,8.76,1.8,43.8
Crystal Palace,1,25.0,1.28,0.04,0.0,0.16,0.08,1.2,0.27,-0.0,-0.01,4.4,12.4,35.5,5.12,36.3,33.0,15.7,1.0,6.4,1.04,1.04,13.2,24,27.7,44.3,25,275,2250,25.0,0.8,0.68,1.48,0.8,0.0,0.08,2.44,0.12,0.9,0.84,0.68,1.52,13.3,30.6,1.48,1.58,0.8,10.0,3.24,32.3,10.04,3.24,0.08,0.25,17.7,0.48,0.0,0.08,0.9,0.84,0.08,-0.1,-0.04,17.7,17.68,12.0,1.68,1.2,1.12,1.24,0.4,1.44,1.44,25,25,2250,1.28,1.28,4.4,3.2,71.8,0.24,0.36,0.4,0.24,24.0,0.04,0.04,0.0,0.0,19.1,11.4,10.0,6.64,2.48,13.8,54.1,6.32,12.8,3.52,9.24,9.8,28.9,22.3,0.16,27.7,25,2250,90,100,11.0,83,7.12,3.76,18,5.24,1.08,0.84,1.28,-0.44,-0.44,0.9,1.4,-0.49,-0.49,44.3,563.6,71.7,205.8,240.6,123.2,17.4,563.5,8.2,42.6,8.56,44.5,297.0,1487.8,734.6,13.3,10.2,4.92,16.9,12.4,342.4,30.6,24,25.0,344.5,77.3,6157.9,2309.6,0.68,0.68,0.54,0.0,7.56,25.2,5.0,1.0,30.6
Everton,2,26.0,1.46,0.12,0.04,0.15,0.0,1.56,0.3,0.1,0.1,7.35,20.7,35.4,4.5,53.7,41.2,15.0,0.54,3.6,1.15,1.15,14.6,28,27.1,44.7,26,286,2340,26.0,0.69,0.54,1.23,0.62,0.08,0.08,2.31,0.0,1.09,1.03,0.77,1.8,13.2,27.2,1.15,1.86,0.69,10.1,3.31,32.8,10.08,3.31,0.06,0.19,16.5,0.27,0.08,0.08,1.09,1.03,0.1,-0.4,-0.42,17.5,17.5,12.3,1.88,0.81,1.19,0.92,0.42,1.23,1.23,26,26,2340,1.46,1.46,4.88,3.42,72.4,0.19,0.27,0.54,0.23,23.1,0.12,0.12,0.0,0.0,18.4,11.0,9.77,6.58,2.04,14.0,54.2,6.42,13.2,4.62,8.62,9.96,28.3,22.7,0.5,27.1,26,2340,90,100,11.0,84,7.85,3.15,20,5.85,0.85,0.73,1.46,-0.73,-0.73,1.09,1.64,-0.55,-0.54,44.7,553.1,68.1,199.5,234.0,125.4,19.6,553.0,7.54,43.5,8.12,46.8,291.1,1555.0,753.1,13.2,10.1,3.81,16.1,8.81,332.8,27.1,28,26.0,335.2,76.6,6140.6,2273.9,0.54,0.77,0.7,-0.23,7.31,26.2,5.77,1.88,27.2
Fulham,2,25.0,1.24,0.12,0.04,0.16,0.0,1.44,0.28,0.2,0.2,4.6,13.4,34.4,4.92,33.9,32.4,13.1,0.96,7.3,1.32,1.32,14.7,29,29.0,46.5,25,275,2250,25.0,1.32,0.84,2.16,1.16,0.16,0.28,2.44,0.04,1.26,1.04,0.78,1.81,17.2,32.9,2.0,2.03,1.32,11.2,3.76,33.5,11.24,3.76,0.1,0.31,16.7,0.4,0.16,0.28,1.26,1.04,0.09,0.06,0.12,20.0,20.04,14.0,2.2,0.88,1.4,1.16,0.44,2.24,2.24,25,25,2250,1.24,1.24,5.0,3.76,77.6,0.44,0.24,0.32,0.32,32.0,0.12,0.12,0.0,0.0,16.2,9.12,7.4,5.88,2.88,13.3,56.2,5.84,11.9,3.44,8.48,9.08,25.2,19.3,0.2,29.0,25,2250,90,100,11.0,85,7.12,3.84,15,5.16,1.56,1.44,1.24,0.2,0.2,1.26,1.62,-0.36,-0.36,46.5,563.1,65.4,188.4,244.4,136.7,19.8,562.8,6.2,44.0,5.96,42.3,303.9,1684.7,897.3,17.2,12.7,3.72,14.9,10.1,342.0,32.6,29,25.0,345.2,76.2,6398.0,2285.1,0.84,0.78,0.6,0.06,8.36,25.2,7.2,2.56,32.9
Leeds United,1,25.0,1.6,0.08,0.04,0.2,0.04,1.33,0.28,-0.23,-0.23,2.96,13.6,21.8,5.72,40.5,34.3,12.6,1.08,8.5,1.96,1.96,16.1,28,25.6,49.7,25,275,2250,25.0,1.08,0.8,1.88,1.04,0.04,0.08,2.24,0.08,1.26,1.2,0.86,2.06,15.4,38.4,1.84,2.12,1.08,12.1,3.64,30.0,12.12,3.64,0.09,0.29,16.9,0.56,0.04,0.08,1.26,1.2,0.1,-0.18,-0.16,20.5,20.52,14.3,2.64,0.76,1.24,1.28,0.28,1.64,1.64,25,25,2250,1.6,1.6,4.48,2.92,66.1,0.2,0.28,0.52,0.2,20.0,0.08,0.08,0.0,0.0,23.1,13.3,10.3,9.48,3.32,21.5,52.1,10.3,13.4,3.04,10.4,10.0,33.1,17.5,0.36,25.6,25,2250,90,100,11.0,82,6.8,4.2,21,4.8,0.88,1.16,1.6,-0.44,-0.44,1.26,1.46,-0.21,-0.21,49.7,591.7,54.8,185.8,259.2,152.3,21.0,591.6,6.84,38.3,9.08,50.8,312.8,1496.0,744.8,15.4,10.1,4.0,16.4,10.9,345.3,38.1,28,25.0,348.2,74.2,5678.0,2270.3,0.8,0.86,0.71,-0.06,9.12,29.6,7.16,1.52,38.4
Leicester City,1,25.0,1.72,0.08,0.08,0.2,0.16,1.4,0.29,-0.16,-0.15,3.68,11.9,30.9,6.04,30.0,30.4,13.8,0.84,6.1,1.52,1.52,15.4,27,27.0,50.0,25,275,2250,25.0,1.36,0.96,2.32,1.32,0.04,0.08,1.44,0.0,1.21,1.14,1.0,2.14,16.3,37.3,2.28,2.2,1.36,10.7,3.68,34.5,10.68,3.68,0.12,0.36,18.0,0.36,0.04,0.08,1.21,1.14,0.11,0.15,0.18,19.0,19.04,14.6,1.16,0.84,1.2,0.8,0.48,2.36,2.36,25,25,2250,1.72,1.72,4.52,2.88,63.7,0.28,0.12,0.6,0.24,24.0,0.12,0.08,0.04,0.0,18.4,11.2,8.6,8.0,1.76,17.2,48.7,8.84,13.3,3.76,9.56,9.52,27.9,18.8,0.2,27.0,25,2250,90,100,11.0,82,7.44,3.56,24,5.4,0.96,1.44,1.72,-0.28,-0.28,1.21,1.64,-0.44,-0.44,50.0,639.5,69.6,225.6,291.0,128.6,18.8,639.4,5.92,41.3,6.4,44.7,347.1,1721.3,859.3,16.3,10.3,4.96,15.4,8.08,421.0,36.9,27,25.0,424.0,80.2,7129.6,2506.6,0.96,1.0,0.74,-0.04,8.44,32.2,6.48,1.56,37.3
Liverpool,1,25.0,1.12,0.08,0.0,0.0,0.08,1.46,0.33,0.42,0.42,3.08,7.24,42.5,6.24,17.9,26.5,11.0,0.56,5.1,1.88,1.88,19.4,27,28.2,59.8,25,275,2250,25.0,1.72,1.4,3.12,1.72,0.0,0.0,1.32,0.04,1.84,1.84,1.46,3.3,18.7,52.1,3.12,3.3,1.72,16.4,5.76,35.2,16.36,5.76,0.11,0.3,15.8,0.24,0.0,0.0,1.84,1.84,0.12,-0.12,-0.12,28.5,28.52,20.8,2.4,1.56,2.28,0.84,0.6,3.16,3.16,25,25,2250,1.12,1.12,4.12,3.04,74.8,0.48,0.24,0.28,0.4,40.0,0.12,0.08,0.04,0.0,14.9,9.56,6.48,6.36,2.04,14.8,44.1,8.28,9.68,2.16,7.52,8.96,23.8,15.0,0.52,28.2,25,2250,90,100,11.0,82,6.64,4.32,20,4.68,1.68,1.88,1.12,0.76,0.76,1.84,1.35,0.5,0.49,59.8,739.1,63.8,219.2,342.5,181.8,32.6,739.1,7.36,44.8,7.16,43.6,435.9,2170.6,1100.8,18.7,13.8,5.96,15.8,11.1,511.1,51.6,27,25.0,514.7,81.5,9088.0,3133.6,1.4,1.46,1.35,-0.06,12.3,41.2,12.0,2.32,52.1
Manchester City,1,26.0,0.96,0.12,0.04,0.08,0.04,0.77,0.28,-0.16,-0.16,3.23,7.5,43.1,4.42,19.9,28.2,8.15,0.73,9.0,1.12,1.12,15.6,22,27.8,64.2,26,286,2340,26.0,2.46,1.88,4.35,2.27,0.19,0.19,1.19,0.04,2.08,1.93,1.53,3.46,26.5,57.0,4.15,3.61,2.46,16.3,5.46,33.4,16.35,5.46,0.14,0.42,16.7,0.54,0.19,0.19,2.08,1.93,0.12,0.38,0.34,30.2,30.19,23.0,2.38,1.08,2.15,1.23,0.38,4.5,4.5,26,26,2340,0.96,0.96,2.31,1.38,63.3,0.69,0.15,0.15,0.35,34.6,0.12,0.12,0.0,0.0,13.1,7.69,4.88,5.58,2.62,11.3,52.9,5.31,9.31,2.42,6.88,6.08,19.2,10.1,0.19,27.8,26,2340,90,100,11.0,84,7.73,3.23,20,5.77,2.23,2.54,0.96,1.58,1.58,2.08,0.82,1.26,1.26,64.2,779.8,52.9,186.4,376.2,222.4,35.0,779.7,7.65,45.6,6.54,39.0,494.2,2712.1,1469.2,26.5,20.2,7.5,10.7,8.0,593.8,56.5,22,26.0,600.5,86.9,10308.7,3028.5,1.88,1.53,1.59,0.35,12.8,46.4,12.6,2.38,57.0
Manchester Utd,1,25.0,1.4,0.04,0.08,0.2,0.04,1.19,0.29,-0.17,-0.17,3.48,11.3,30.7,3.56,32.3,31.7,14.5,0.36,2.5,0.8,0.8,14.9,26,27.6,52.8,25,275,2250,25.0,1.56,1.24,2.8,1.48,0.08,0.08,2.24,0.04,1.59,1.53,1.25,2.78,17.7,39.1,2.72,2.84,1.56,14.1,5.12,36.3,14.12,5.12,0.1,0.29,17.8,0.48,0.08,0.08,1.59,1.53,0.11,-0.03,-0.05,25.0,25.0,20.1,1.24,0.92,1.6,0.8,0.32,2.88,2.88,25,25,2250,1.4,1.4,4.0,2.64,66.0,0.6,0.16,0.24,0.4,40.0,0.04,0.04,0.0,0.0,17.7,10.4,9.88,5.76,2.04,14.6,55.8,6.44,13.3,3.88,9.4,9.44,27.1,21.3,0.2,27.6,25,2250,90,100,11.0,83,7.2,3.8,20,5.16,1.96,1.64,1.4,0.24,0.24,1.59,1.26,0.34,0.34,52.8,642.8,68.5,212.0,272.1,163.7,25.0,642.8,6.4,38.2,8.4,50.1,361.5,1815.2,957.6,17.7,13.4,5.68,13.6,7.64,418.0,38.8,26,25.0,421.9,79.9,7051.2,2436.1,1.24,1.25,1.09,-0.01,11.4,32.2,9.36,1.68,39.1
Newcastle Utd,2,24.0,0.71,0.04,0.0,0.21,0.0,0.81,0.25,0.1,0.1,3.54,10.9,32.4,6.67,33.8,33.0,12.9,0.92,7.1,2.17,2.17,19.1,26,28.1,51.0,24,264,2160,24.0,1.42,0.88,2.29,1.29,0.13,0.13,1.88,0.04,1.56,1.47,1.15,2.62,17.2,41.3,2.17,2.72,1.42,13.7,4.63,33.7,13.71,4.62,0.09,0.28,15.7,0.46,0.13,0.13,1.56,1.47,0.11,-0.15,-0.18,24.3,24.33,16.4,3.0,1.25,1.79,1.58,0.33,2.17,2.17,24,24,2158,0.71,0.71,3.21,2.5,79.2,0.42,0.46,0.13,0.5,50.0,0.08,0.04,0.0,0.04,16.0,9.71,7.33,6.46,2.17,15.6,50.8,7.67,12.8,3.54,9.25,9.0,25.0,19.3,0.17,28.1,24,2160,90,100,11.0,84,6.96,4.0,16,4.92,1.71,1.46,0.71,0.75,0.75,1.56,0.99,0.57,0.57,51.0,579.1,58.0,180.6,236.3,167.9,28.6,579.0,7.75,41.4,8.25,44.1,308.3,1638.8,841.3,17.2,11.6,5.04,14.5,9.79,357.6,40.8,26,24.0,360.8,77.3,6415.3,2365.2,0.88,1.15,1.11,-0.27,10.6,28.1,10.1,1.88,41.3
Nott'ham Forest,3,25.0,1.76,0.12,0.04,0.28,0.0,1.54,0.29,-0.22,-0.22,6.4,18.3,34.9,5.56,46.8,38.3,16.1,1.04,6.5,1.48,1.48,14.6,33,27.0,40.6,25,275,2250,25.0,0.76,0.44,1.2,0.72,0.04,0.08,2.12,0.0,1.06,0.99,0.78,1.78,12.4,24.4,1.16,1.84,0.76,9.96,2.88,28.9,9.96,2.88,0.07,0.25,17.6,0.36,0.04,0.08,1.06,0.99,0.1,-0.3,-0.27,16.6,16.64,12.1,1.28,0.84,1.04,0.96,0.44,1.16,1.16,25,25,2250,1.76,1.76,4.68,2.84,65.0,0.24,0.32,0.44,0.28,28.0,0.24,0.12,0.08,0.04,17.3,10.4,9.68,5.6,2.0,13.7,55.8,6.04,12.5,4.04,8.48,8.92,26.2,25.0,0.16,27.0,25,2250,90,100,11.0,82,6.88,4.16,22,4.84,1.04,0.8,1.76,-0.96,-0.96,1.06,1.59,-0.54,-0.54,40.6,506.3,73.4,204.9,200.6,106.7,15.4,506.2,6.6,45.2,5.84,40.0,256.8,1353.6,690.8,12.4,9.04,2.96,15.0,8.12,281.4,24.1,33,25.0,283.8,72.2,5270.0,2041.6,0.44,0.78,0.55,-0.34,6.96,19.4,5.04,1.72,24.4
Southampton,1,25.0,1.64,0.0,0.04,0.2,0.16,1.04,0.27,-0.44,-0.45,7.36,21.1,34.8,4.6,53.3,39.3,14.4,1.2,8.4,1.44,1.44,14.6,31,25.1,43.8,25,275,2250,25.0,0.8,0.52,1.32,0.8,0.0,0.08,2.0,0.0,0.96,0.89,0.74,1.64,13.9,28.7,1.32,1.71,0.8,11.2,3.48,31.0,11.24,3.48,0.07,0.23,18.0,0.44,0.0,0.08,0.96,0.89,0.08,-0.16,-0.09,19.6,19.6,13.9,2.28,0.96,1.12,1.16,0.2,1.36,1.36,25,25,2250,1.64,1.64,3.68,2.16,55.4,0.24,0.12,0.64,0.12,12.0,0.04,0.0,0.04,0.0,19.8,11.4,10.1,7.88,1.8,14.6,55.7,6.48,13.7,3.76,9.92,11.1,30.9,22.0,0.24,25.1,25,2250,90,100,11.0,81,6.44,4.56,21,4.44,0.84,0.8,1.64,-0.84,-0.84,0.96,1.34,-0.37,-0.37,43.8,546.2,63.8,190.2,228.6,133.4,19.4,546.1,7.64,43.0,8.44,47.5,287.0,1550.8,721.8,13.9,11.9,3.16,15.4,10.8,306.0,28.3,31,25.0,308.7,73.3,5396.6,2102.0,0.52,0.74,0.7,-0.22,8.36,25.1,6.36,2.04,28.7
Tottenham,2,26.0,1.38,0.04,0.0,0.15,0.04,1.19,0.27,-0.15,-0.15,3.0,8.08,37.1,4.69,29.4,30.8,12.6,0.65,5.2,1.35,1.35,15.2,27,28.4,50.3,26,286,2340,26.0,1.69,1.12,2.81,1.62,0.08,0.12,2.04,0.08,1.41,1.32,1.05,2.37,19.6,40.4,2.73,2.46,1.69,13.7,5.08,37.0,13.73,5.08,0.12,0.32,16.8,0.46,0.08,0.12,1.41,1.32,0.1,0.28,0.29,24.0,24.0,18.1,1.62,1.08,1.58,1.0,0.62,2.73,2.73,26,26,2340,1.38,1.38,4.35,3.0,69.0,0.54,0.12,0.35,0.35,34.6,0.04,0.04,0.0,0.0,16.0,9.23,8.15,5.35,2.46,13.2,51.3,6.42,11.2,3.81,7.42,8.96,24.9,19.3,0.5,28.4,26,2340,90,100,11.0,85,7.19,3.73,14,5.27,1.73,1.77,1.38,0.38,0.38,1.41,1.14,0.27,0.27,50.3,637.9,70.5,227.1,274.4,141.1,22.7,637.8,6.85,42.4,7.62,47.1,372.2,1950.0,1008.3,19.6,13.0,4.96,14.8,10.1,428.6,40.0,27,26.0,431.6,81.6,7480.2,2517.6,1.12,1.05,0.88,0.07,10.1,28.6,8.92,2.73,40.4
West Ham,2,25.0,1.32,0.12,0.0,0.04,0.04,1.32,0.27,0.04,0.04,5.4,14.4,37.6,4.56,51.0,38.8,14.3,0.88,6.2,0.52,0.52,11.8,25,28.8,43.6,25,275,2250,25.0,0.92,0.48,1.4,0.76,0.16,0.24,1.28,0.0,1.25,1.09,0.81,1.9,16.2,35.6,1.24,2.06,0.92,12.6,3.2,25.5,12.56,3.2,0.06,0.24,17.9,0.36,0.16,0.24,1.25,1.09,0.09,-0.33,-0.33,22.4,22.36,16.5,1.84,0.96,1.8,0.88,0.36,1.52,1.52,25,25,2250,1.32,1.32,4.24,2.92,71.7,0.24,0.2,0.56,0.2,20.0,0.16,0.12,0.04,0.0,15.7,8.36,7.52,5.92,2.28,13.4,48.5,6.92,10.8,3.52,7.28,10.3,26.0,20.0,0.16,28.8,25,2250,90,100,11.0,84,7.64,3.36,21,5.48,0.92,0.92,1.32,-0.4,-0.4,1.25,1.2,0.06,0.06,43.6,545.6,61.0,184.4,232.7,132.9,19.2,545.4,5.6,38.6,6.44,44.4,282.1,1523.3,729.5,16.2,11.6,3.8,12.2,9.24,334.6,35.5,25,25.0,337.9,76.3,6032.1,2269.4,0.48,0.81,0.69,-0.33,9.08,26.7,5.96,2.16,35.6
Wolves,1,26.0,1.35,0.04,0.0,0.15,0.04,1.26,0.28,-0.05,-0.05,3.77,12.0,31.3,5.0,28.6,30.6,15.4,1.19,7.8,0.88,0.88,13.2,31,27.1,49.3,26,286,2340,26.0,0.65,0.38,1.04,0.58,0.08,0.08,2.04,0.15,0.96,0.9,0.71,1.61,16.9,36.7,0.96,1.67,0.65,11.0,3.04,27.5,11.04,3.04,0.05,0.19,18.1,0.46,0.08,0.08,0.96,0.9,0.08,-0.3,-0.32,19.4,19.42,14.5,1.54,0.88,1.27,0.92,0.31,1.08,1.08,26,26,2340,1.35,1.35,4.15,2.77,68.5,0.27,0.23,0.5,0.27,26.9,0.12,0.04,0.08,0.0,18.2,10.2,10.2,5.85,2.15,15.0,49.5,7.58,12.5,4.38,8.08,7.5,25.7,21.6,0.31,27.1,26,2340,90,100,11.0,81,6.77,4.08,24,4.88,1.04,0.73,1.35,-0.62,-0.62,0.96,1.43,-0.47,-0.47,49.3,595.6,76.2,226.4,241.3,133.9,18.6,595.5,8.58,45.6,8.12,43.1,324.5,1778.7,928.5,16.9,11.2,3.92,14.7,8.23,382.8,36.4,31,26.0,385.8,79.9,7046.8,2346.3,0.38,0.71,0.59,-0.33,8.19,30.7,7.15,2.12,36.7
